H_A,Minutes,PointsPerMinute,ProjTotal,AvgPointsPerMinute,BackToBack,ThreeOfFour,Back2BackTravel,DvP Pos,Last5DvP,Last5DvPRank
0,23.46666667,0.884232955,108.75,0.856607544,0,0,0,PG,0.975177222,15
0,26.36666667,1.336915297,109.5,1.054100747,0,0,0,PF,0.869730155,7
0,36.71666667,1.123467998,97.5,1.004142124,0,0,0,PG,1.038879825,18
0,33.83333333,1.071428571,108,0.883330218,0,0,0,SF,0.81434972,18
0,19.83333333,0.554621849,97.5,0.851248519,0,0,0,SG,0.754394059,10
0,38.33333333,0.952173913,97.5,1.092217576,0,0,0,C,0.859953508,3
0,26.4,1.174242424,108,0.794226996,0,0,0,PG,1.025644595,17
0,30.78333333,1.388738495,105.25,0.885689393,0,1,0,SG,0.890592404,16
0,14.9,0.855704698,113.75,0.790344559,0,0,0,C,1.187609214,25
0,30.23333333,0.570562293,109.5,0.709181423,0,0,0,SF,0.783673663,13
0,38.13333333,0.930944056,109,0.958049954,1,1,1,SG,0.844193853,18
0,38.71666667,1.213947482,109,1.24711655,1,1,1,PG,1.149390697,25
0,30.45,0.697865353,106,0.775030619,0,0,0,SG,0.930404012,24
0,28.88333333,1.601269475,109,1.203301513,1,0,1,C,0.969591285,10
0,26.21666667,1.382708201,106,0.860773993,0,0,0,SF,1.006860942,27
0,35.9,1.364902507,106,1.204962646,0,0,0,PF,0.977671716,16
0,29.31666667,0.486071632,109,0.6753442,1,1,1,SF,0.634466352,3
0,15.1,0.529801325,109,0.884720795,1,0,1,PF,0.825456414,5
0,28.15,0.595026643,106,0.724905221,0,0,0,PG,0.974558416,14
0,25.91666667,0.829581994,106,1.166706291,0,0,0,C,0.969821422,7
0,29.28333333,0.862265225,105.75,1.067854229,0,0,0,PF,1.041483102,20
0,27.75,1.810810811,102.5,1.365675312,0,0,0,C,1.264277397,27
0,27.5,0.609090909,106.75,0.622447667,0,0,0,SG,0.57359565,1
0,34.96666667,1.043851287,102.5,0.730575552,0,0,0,SG,0.759398832,9
0,38.53333333,1.459775087,110.75,1.252422728,0,0,0,SF,1.12298793,29
0,36.83333333,1.28959276,114.25,1.059211982,0,0,0,SG,1.104057489,29
0,35.61666667,1.151146467,115.25,0.920780547,1,0,1,SF,1.019913311,28
0,30.46666667,1.920131291,115.25,1.035401983,1,0,1,C,1.140576851,22
0,33.38333333,1.048427359,106.75,0.886929138,0,0,0,SF,0.72871843,7
0,34.9,0.723495702,113,0.719274998,0,0,0,SG,1.050971883,26
0,28.43333333,0.413247362,102,0.775030619,1,0,0,SG,0.899270034,18
0,21.35,1.170960187,110.75,0.984487141,0,0,0,SF,1.12298793,29
0,26.31666667,0.892970234,102.5,1.106735851,0,0,0,PG,0.803777057,3
0,28.7,0.862369338,103.75,0.99620759,0,0,0,PG,0.717986308,1
0,27.16666667,0.819018405,98.5,0.944105724,0,0,0,PF,0.966699013,18
0,22.4,0.904017857,102.5,1.001314511,0,0,0,C,1.227540588,26
0,21.75,0.643678161,103.75,0.988364423,0,0,0,PF,1.261228775,28
0,31.98333333,1.321000521,113,1.243727174,0,0,0,C,0.893988283,5
0,33.5,0.97761194,105.75,0.884737095,0,0,0,SG,0.665615183,4
0,36.11666667,0.546838948,110.5,0.859091611,0,0,0,SG,0.780527886,12
0,38.63333333,1.08714409,103.75,0.921053493,0,0,0,SF,0.84001689,20
0,32.9,1.436170213,110.75,0.871757866,0,0,0,SG,0.727362988,5
0,20.63333333,0.278675283,110.5,0.922101868,0,0,0,PG,0.935391508,7
0,29.65,0.733558179,113,0.810751576,0,0,0,PG,1.231353252,30
0,31.7,0.954258675,98.5,0.852897136,0,0,0,SF,0.692979955,4
0,27.81666667,1.500898742,110.75,1.506562778,0,0,0,C,1.212694009,26
0,38.46666667,1.247833622,114.25,1.228839783,0,0,0,PG,1.185879196,26
0,27.25,1.064220183,102.5,0.979946537,0,0,0,SF,1.007273914,28
0,33.2,0.677710843,115.25,0.821952489,1,0,1,SG,0.734808825,6
0,31.2,1.706730769,113,1.208124987,0,0,0,PF,1.017840198,22
0,22.11666667,0.926902788,102,0.860773993,1,0,0,SF,0.819723628,18
0,38.98333333,1.083796494,115.25,0.9426954,1,1,1,SF,1.019913311,28
0,32.1,0.895638629,102,1.204962646,1,0,0,PF,0.818832207,6
0,28.61666667,0.934769948,115.25,1.013410646,1,1,1,PG,1.18599695,27
0,28.38333333,0.854374633,114.25,0.90692244,0,0,0,C,0.811323977,3
0,14.3,0.769230769,114.25,0.881664739,0,0,0,PF,1.110329713,26
0,18.96666667,0.777680141,102.5,0.855458227,0,0,0,C,1.227540588,26
0,13.46666667,0.872524752,103.75,0.987890028,0,0,0,C,0.808793763,2
0,33.85,1.521418021,110.5,1.390130989,0,0,0,C,1.207441063,26
0,28.73333333,0.739559165,105.75,1.266705763,0,0,0,C,1.087499847,20
0,30.85,0.705024311,114.25,0.967870754,0,0,0,SF,0.881014652,21
0,28.48333333,0.947922762,102,0.724905221,1,0,0,PG,0.908655786,7
0,27.2,1.139705882,102,1.166706291,1,0,0,C,1.036596895,14
0,38.78333333,1.108723679,106.75,1.071056102,0,0,0,SF,0.72871843,7
0,34.08333333,1.474327628,110.5,1.054100747,0,0,0,PF,1.100858528,24
0,29.58333333,0.81971831,102.5,1.000845959,0,0,0,PG,1.140658643,25
0,30.43333333,0.575027382,98.5,1.004142124,0,0,0,PG,1.253770695,30
0,32.06666667,1.122661123,110.75,0.883330218,0,0,0,SF,1.12298793,29
0,35.2,0.617897727,98.5,0.851248519,0,0,0,SG,0.894870249,21
0,34.58333333,0.787951807,98.5,1.092217576,0,0,0,C,1.018331818,12
0,37.76666667,1.19152692,106.75,1.582325183,0,0,0,PG,0.955827196,11
0,21.16666667,1.027559055,105.75,0.878741017,0,0,0,PG,1.154351061,24
0,38.18333333,0.549978175,102.5,0.686157462,0,0,0,SF,0.716656339,5
0,32.73333333,0.855397149,106.75,0.954300138,0,0,0,C,1.005200757,11
0,25.6,0.732421875,110.75,0.794226996,0,0,0,PG,0.971351427,12
0,23.86666667,0.93226257,102.5,0.880857016,0,0,0,SF,1.007273914,28
0,26.75,0.420560748,105.75,0.71773657,0,0,0,SG,0.665615183,4
0,32.36666667,0.980947477,113,0.885689393,0,0,0,SG,1.050971883,26
0,34.85,0.638450502,102.5,0.964942896,0,0,0,PF,1.005880442,18
0,38.11666667,0.301705291,103.75,0.715950143,0,0,0,SG,0.791733906,12
0,36,0.5,110.5,0.709181423,0,0,0,SF,0.748711862,10
0,36.35,1.478679505,102,1.365675312,1,0,0,C,1.131260243,20
0,35.43333333,0.896048918,113,0.810683452,0,0,0,SF,0.825872279,14
0,38.28333333,0.489769264,102.75,0.810029292,0,0,0,PG,0.938749433,9
0,32.86666667,1.034482759,102,0.730575552,1,0,0,SG,0.77513544,11
0,36.63333333,1.426296633,102.75,1.218442248,0,0,0,PF,0.920155961,12
0,35.53333333,0.717636023,102.75,0.833436825,0,0,0,SF,0.754808253,9
0,19.8,0.95959596,97.25,0.77424946,1,0,1,SG,0.672268602,4
0,34.55,1.056439942,102.75,1.14883807,0,0,0,C,0.90098751,6
0,19.7,0.824873096,111.75,0.859091611,1,1,0,SG,0.905091218,21
0,18.61666667,0.81915846,111.75,0.922101868,1,0,0,PG,0.947428704,11
