Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Michael Porter Jr. (14116684),Michael Porter Jr.,14116684,SF/PF/F/UTIL,3600,CLE@DEN 01/11/2020 09:00PM ET,DEN,11.13
PG/SG,Dante Exum (14116688),Dante Exum,14116688,PG/SG/G/UTIL,3600,CLE@DEN 01/11/2020 09:00PM ET,CLE,8.78
SG/SF,Pat Connaughton (14116714),Pat Connaughton,14116714,SG/SF/F/G/UTIL,3500,MIL@POR 01/11/2020 10:00PM ET,MIL,14.91
C,Nerlens Noel (14116701),Nerlens Noel,14116701,C/UTIL,3500,LAL@OKC 01/11/2020 08:00PM ET,OKC,20.68
PG/SG,Avery Bradley (14116710),Avery Bradley,14116710,PG/SG/G/UTIL,3500,LAL@OKC 01/11/2020 08:00PM ET,LAL,14.66
PG,Monte Morris (14116707),Monte Morris,14116707,PG/G/UTIL,3500,CLE@DEN 01/11/2020 09:00PM ET,DEN,15.9
PG/SG,J.J. Barea (14116703),J.J. Barea,14116703,PG/SG/G/UTIL,3500,PHI@DAL 01/11/2020 08:30PM ET,DAL,17.23
PF/C,Larry Nance Jr. (14116723),Larry Nance Jr.,14116723,PF/C/F/UTIL,3400,CLE@DEN 01/11/2020 09:00PM ET,CLE,21.77
C,Ante Zizic (14116727),Ante Zizic,14116727,C/UTIL,3400,CLE@DEN 01/11/2020 09:00PM ET,CLE,10.2
PG/SG,Langston Galloway (14116729),Langston Galloway,14116729,PG/SG/G/UTIL,3400,CHI@DET 01/11/2020 07:00PM ET,DET,17.94
SF/PF,James Ennis III (14116719),James Ennis III,14116719,SF/PF/F/UTIL,3400,PHI@DAL 01/11/2020 08:30PM ET,PHI,13.98
C,Norvel Pelle (14116733),Norvel Pelle,14116733,C/UTIL,3400,PHI@DAL 01/11/2020 08:30PM ET,PHI,9.61
PF/C,Zach Collins (14116740),Zach Collins,14116740,PF/C/F/UTIL,3300,MIL@POR 01/11/2020 10:00PM ET,POR,17.83
SG/SF,Terrance Ferguson (14116735),Terrance Ferguson,14116735,SG/SF/F/G/UTIL,3300,LAL@OKC 01/11/2020 08:00PM ET,OKC,10.69
PF/C,Mike Muscala (14116744),Mike Muscala,14116744,PF/C/F/UTIL,3200,LAL@OKC 01/11/2020 08:00PM ET,OKC,8.15
SF/PF,Darius Bazley (14116748),Darius Bazley,14116748,SF/PF/F/UTIL,3200,LAL@OKC 01/11/2020 08:00PM ET,OKC,11.53
PG/SG,Matthew Dellavedova (14116752),Matthew Dellavedova,14116752,PG/SG/G/UTIL,3200,CLE@DEN 01/11/2020 09:00PM ET,CLE,9.11
SG,Gary Trent Jr. (14116759),Gary Trent Jr.,14116759,SG/G/UTIL,3100,MIL@POR 01/11/2020 10:00PM ET,POR,7.93
PG/SG,Nickeil Alexander-Walker (14116762),Nickeil Alexander-Walker,14116762,PG/SG/G/UTIL,3100,NO@BOS 01/11/2020 07:00PM ET,NO,12.39
SF,Abdel Nader (14116756),Abdel Nader,14116756,SF/F/UTIL,3100,LAL@OKC 01/11/2020 08:00PM ET,OKC,10.76
PG/SG,Alex Caruso (14116766),Alex Caruso,14116766,PG/SG/G/UTIL,3100,LAL@OKC 01/11/2020 08:00PM ET,LAL,13.18
SG/SF,Furkan Korkmaz (14116770),Furkan Korkmaz,14116770,SG/SF/F/G/UTIL,3100,PHI@DAL 01/11/2020 08:30PM ET,PHI,14.14
PF/C,Anthony Tolliver (14116800),Anthony Tolliver,14116800,PF/C/F/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,POR,9.37
SF/PF,Mario Hezonja (14116804),Mario Hezonja,14116804,SF/PF/F/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,POR,12.34
SG/SF,Kyle Korver (14116808),Kyle Korver,14116808,SG/SF/F/G/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,MIL,11.91
C,Robin Lopez (14116813),Robin Lopez,14116813,C/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,MIL,11.69
SG/SF,Rodney Hood (14116925),Rodney Hood,14116925,SG/SF/F/G/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,POR,19.9
PF/C,Skal Labissiere (14116930),Skal Labissiere,14116930,PF/C/F/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,POR,15.97
SF/PF,Jaylen Hoard (14116934),Jaylen Hoard,14116934,SF/PF/F/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,POR,4.75
C,Moses Brown (14116938),Moses Brown,14116938,C/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,POR,3.92
SF/PF,Nassir Little (14116940),Nassir Little,14116940,SF/PF/F/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,POR,8.84
SG/SF,Sterling Brown (14117074),Sterling Brown,14117074,SG/SF/F/G/UTIL,3000,MIL@POR 01/11/2020 10:00PM ET,MIL,13.59
