Away,AwayProjectedTotal,AwayScore,Home,HomeProjectedTotal,HomeScore,OU,Line,Favorite,Date,Season,Winner,LineWinner,OverUnder,WinnerFavorite,LineWinnerFavorite,AwayBack2Back,HomeBack2Back,,,
ATL,74,64,CONN,72,82,146,-2,Away,6/14/2015,2015,Home,Home,Push,Underdog,Underdog,,,,,
SEA,71.25,60,LOS,73.25,54,144.5,-2,Home,6/14/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
MIN,80,66,PHO,72,81,152,-8,Away,6/14/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
TUL,76.5,73,SA,80.5,62,157,-4,Home,6/14/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
WAS,68,74,NEW,72.5,59,140.5,-4.5,Home,6/14/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
IND,73,90,ATL,78,79,151,-5,Home,6/16/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
CONN,69,79,SEA,71.5,58,140.5,-2.5,Home,6/16/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
IND,73,90,ATL,78,79,151,-5,Home,6/16/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
SA,73,61,TUL,79,88,152,-6,Home,6/16/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
MIN,78.5,67,LOS,67,52,145.5,-11.5,Away,6/16/2015,2015,Away,Away,Under,Favorite,Favorite,,,,,
SA,73,61,TUL,79,88,152,-6,Home,6/16/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
TUL,71,86,WAS,74.5,82,145.5,-3.5,Home,6/19/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
CHI,81,73,ATL,77.5,74,158.5,-3.5,Away,6/19/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
TUL,71,86,WAS,74.5,82,145.5,-3.5,Home,6/19/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
